all,primary_care
0.007946503,0.010656134
0.002761383,0.03209033
0.886634,0.04781179
0.0059160497,0.057574403
0.0020652264,0.022929596
0.055868424,0.13893552
0.0028691662,0.0034642613
0.028372368,0.028456643
0.0037700746,0.005519119
0.021624546,0.14356522
0.71652144,0.07872591
0.0029195342,0.008704861
0.99399215,0.9788017
0.0012236515,0.009874386
0.006586289,0.0063173184
0.05123795,0.1648324
0.0038177425,0.016127348
0.0033830788,0.018764112
0.0015315834,0.0073565226
0.8813781,0.92680866
0.00332146,0.014094292
0.004391719,0.07120408
0.0017223055,0.004649283
0.02128546,0.0148598375
0.012572997,0.25099656
0.0051572938,0.02602094
0.9961571,0.9637672
0.020945042,0.09201975
0.0023417796,0.09985156
0.9866116,0.9491902
0.10662567,0.17019658
0.9652334,0.9686094
0.0048188656,0.00193312
0.0026552116,0.010527815
0.069525,0.028448183
0.0023946192,0.028660296
0.0032393304,0.11131222
0.009589741,0.13797869
0.0014208448,0.0026566403
0.24266003,0.34319535
0.004491281,0.040380098
0.026073014,0.0334126
0.0043201814,0.05204287
0.00989984,0.010994687
0.9903499,0.92202073
0.0074111023,0.01682628
0.09537622,0.47731876
0.003009073,0.06290717
0.03687794,0.025229398
0.96447945,0.9864097
0.9940572,0.7666276
0.069457866,0.029441934
0.9313315,0.76085865
0.0022753163,0.0060484163
0.008233053,0.007058259
0.0033663407,0.026448648
0.0012953003,0.002300003
0.0013514071,0.0068438426
0.005877685,0.014261413
0.008349649,0.10334899
0.0054684887,0.10633387
0.9780753,0.8743842
0.010894972,0.055569306
0.044853266,0.1106858
0.13119817,0.030431246
0.0019004912,0.015919242
0.0021675744,0.010836011
0.31499925,0.014863552
0.678974,0.3592852
0.68784255,0.36829597
0.0028914197,0.012588825
0.0011457327,0.016295237
0.007608533,0.011921047
0.007517818,0.09805242
0.0045944327,0.10581354
0.004402777,0.10018638
0.14677487,0.8878166
0.0028174368,0.0068325214
0.00091018307,0.0026782295
0.022933634,0.06862516
0.116487786,0.02575175
0.0012961631,0.008238689
0.008374777,0.010353787
0.0009419328,0.0022108876
0.0010147798,0.0031921947
0.0024908443,0.017501915
0.054167036,0.015957326
0.033586033,0.01587038
0.15077284,0.024626886
0.09336153,0.0076786936
0.004597072,0.009750104
0.0013143001,0.008199586
0.01000245,0.118427366
0.016777236,0.01293812
0.00717339,0.11456658
0.99140364,0.9882613
0.47720888,0.01838562
0.99183637,0.9702892
0.0026543012,0.013378063
0.0019141573,0.05835864
0.017719002,0.004253353
0.013202859,0.042802997
0.9706988,0.86245775
0.0017626582,0.0054703588
0.90811265,0.13580313
0.90052485,0.8558439
0.6091282,0.91430235
0.9902109,0.9396691
0.9838224,0.72756
0.18298234,0.7991979
0.27958438,0.2001284
0.5542769,0.9343232
0.0020360674,0.015392122
0.74540234,0.9314641
0.71354264,0.3109023
0.02157617,0.49947876
0.24287252,0.45817655
0.99782985,0.9289595
0.33191964,0.53798944
0.0069261147,0.03388986
0.02867221,0.03336864
0.001964753,0.03325417
